Date : 2025-03-29 19:38:11
Directory : e:\Projects\P_Android_save\flutter project\aggar
Total : 274 files,  13470 codes, 616 comments, 1461 blanks, all 15547 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| linux\flutter                                                                                                                                                                                   |          2 |         16 |          9 |         11 |         36 |
| macos                                                                                                                                                                                           |          6 |        454 |          5 |         16 |        475 |
| macos\Flutter                                                                                                                                                                                   |          1 |         16 |          3 |          4 |         23 |
| macos\Runner                                                                                                                                                                                    |          4 |        431 |          0 |          8 |        439 |
| macos\Runner (Files)                                                                                                                                                                            |          2 |         20 |          0 |          6 |         26 |
| macos\RunnerTests                                                                                                                                                                               |          1 |          7 |          2 |          4 |         13 |
| macos\Runner\Assets.xcassets                                                                                                                                                                    |          1 |         68 |          0 |          1 |         69 |
| macos\Runner\Assets.xcassets\AppIcon.appiconset                                                                                                                                                 |          1 |         68 |          0 |          1 |         69 |
| macos\Runner\Base.lproj                                                                                                                                                                         |          1 |        343 |          0 |          1 |        344 |
| test                                                                                                                                                                                            |          1 |         12 |         11 |          6 |         29 |
| web                                                                                                                                                                                             |          2 |         54 |         15 |          6 |         75 |
| windows                                                                                                                                                                                         |         10 |        445 |         94 |        143 |        682 |
| windows\flutter                                                                                                                                                                                 |          2 |         17 |          9 |         11 |         37 |
| windows\runner                                                                                                                                                                                  |          8 |        428 |         85 |        132 |        645 |
+-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| filename                                                                                                                                                                                        | language   | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| e:\Projects\P_Android_save\flutter project\aggar\README.md                                                                                                                                      | Markdown   |         10 |          0 |          7 |         17 |
| e:\Projects\P_Android_save\flutter project\aggar\analysis_options.yaml                                                                                                                          | YAML       |          3 |         22 |          4 |         29 |
| e:\Projects\P_Android_save\flutter project\aggar\android\app\build.gradle                                                                                                                       | Groovy     |         32 |          6 |          7 |         45 |
| e:\Projects\P_Android_save\flutter project\aggar\android\app\src\debug\AndroidManifest.xml                                                                                                      | XML        |          3 |          4 |          1 |          8 |
| e:\Projects\P_Android_save\flutter project\aggar\android\app\src\main\AndroidManifest.xml                                                                                                       | XML        |         36 |         11 |          1 |         48 |
| e:\Projects\P_Android_save\flutter project\aggar\android\app\src\main\res\drawable-v21\launch_background.xml                                                                                    | XML        |          4 |          7 |          2 |         13 |
| e:\Projects\P_Android_save\flutter project\aggar\android\app\src\main\res\drawable\launch_background.xml                                                                                        | XML        |          4 |          7 |          2 |         13 |
| e:\Projects\P_Android_save\flutter project\aggar\android\app\src\main\res\values-night\styles.xml                                                                                               | XML        |          9 |          9 |          1 |         19 |
| e:\Projects\P_Android_save\flutter project\aggar\android\app\src\main\res\values\styles.xml                                                                                                     | XML        |          9 |          9 |          1 |         19 |
| e:\Projects\P_Android_save\flutter project\aggar\android\app\src\profile\AndroidManifest.xml                                                                                                    | XML        |          3 |          4 |          1 |          8 |
| e:\Projects\P_Android_save\flutter project\aggar\android\build.gradle                                                                                                                           | Groovy     |         16 |          0 |          3 |         19 |
| e:\Projects\P_Android_save\flutter project\aggar\android\gradle.properties                                                                                                                      | Properties |          4 |          0 |          0 |          4 |
| e:\Projects\P_Android_save\flutter project\aggar\android\gradle\wrapper\gradle-wrapper.properties                                                                                               | Properties |          5 |          0 |          1 |          6 |
| e:\Projects\P_Android_save\flutter project\aggar\android\settings.gradle                                                                                                                        | Groovy     |         21 |          0 |          5 |         26 |
| e:\Projects\P_Android_save\flutter project\aggar\devtools_options.yaml                                                                                                                          | YAML       |          3 |          0 |          1 |          4 |
| e:\Projects\P_Android_save\flutter project\aggar\ios\RunnerTests\RunnerTests.swift                                                                                                              | Swift      |          7 |          2 |          4 |         13 |
| e:\Projects\P_Android_save\flutter project\aggar\ios\Runner\AppDelegate.swift                                                                                                                   | Swift      |         12 |          0 |          2 |         14 |
| e:\Projects\P_Android_save\flutter project\aggar\ios\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json                                                                                    | JSON       |        122 |          0 |          1 |        123 |
| e:\Projects\P_Android_save\flutter project\aggar\ios\Runner\Assets.xcassets\LaunchImage.imageset\Contents.json                                                                                  | JSON       |         23 |          0 |          1 |         24 |
| e:\Projects\P_Android_save\flutter project\aggar\ios\Runner\Assets.xcassets\LaunchImage.imageset\README.md                                                                                      | Markdown   |          3 |          0 |          2 |          5 |
| e:\Projects\P_Android_save\flutter project\aggar\ios\Runner\Base.lproj\LaunchScreen.storyboard                                                                                                  | XML        |         36 |          1 |          1 |         38 |
| e:\Projects\P_Android_save\flutter project\aggar\ios\Runner\Base.lproj\Main.storyboard                                                                                                          | XML        |         25 |          1 |          1 |         27 |
| e:\Projects\P_Android_save\flutter project\aggar\ios\Runner\Runner-Bridging-Header.h                                                                                                            | C++        |          1 |          0 |          1 |          2 |
| e:\Projects\P_Android_save\flutter project\aggar\lib\core\api\api_consumer.dart                                                                                                                 | Dart       |         30 |          0 |          2 |         32 |
| e:\Projects\P_Android_save\flutter project\aggar\lib\core\api\api_interceptors.dart                                                                                                             | Dart       |         19 |          2 |          5 |         26 |
| e:\Projects\P_Android_save\flutter project\aggar\lib\core\api\dio_consumer.dart                                                                                                                 | Dart       |        126 |          1 |         10 |        137 |
| e:\Projects\P_Android_save\flutter project\aggar\lib\core\api\end_points.dart                                                                                                                   | Dart       |         55 |          4 |          3 |         62 |
| e:\Projects\P_Android_save\flutter project\aggar\lib\core\cache\cache_helper.dart                                                                                                               | Dart       |         47 |          6 |         15 |         68 |
| e:\Projects\P_Android_save\flutter project\aggar\lib\core\cubit\refresh token\token_refresh_cubit.dart                                                                                          | Dart       |        100 |          4 |         24 |        128 |
| e:\Projects\P_Android_save\flutter project\aggar\lib\core\cubit\refresh token\token_refresh_state.dart                                                                                          | Dart       |         26 |          0 |         10 |         36 |
| e:\Projects\P_Android_save\flutter project\aggar\lib\core\cubit\theme\theme_cubit.dart                                                                                                          | Dart       |         17 |          1 |          7 |         25 |
| e:\Projects\P_Android_save\flutter project\aggar\lib\core\cubit\theme\theme_state.dart                                                                                                          | Dart       |          4 |          0 |          4 |          8 |
| e:\Projects\P_Android_save\flutter project\aggar\lib\core\errors\error_model.dart                                                                                                               | Dart       |         12 |          0 |          3 |         15 |
| e:\Projects\P_Android_save\flutter project\aggar\lib\core\errors\exceptions.dart                                                                                                                | Dart       |         48 |          0 |          4 |         52 |
| e:\Projects\P_Android_save\flutter project\aggar\lib\core\extensions\context_colors_extension.dart                                                                                              | Dart       |          6 |          0 |          3 |          9 |
| e:\Projects\P_Android_save\flutter project\aggar\lib\core\extensions\custom_theme_extension.dart                                                                                                | Dart       |        150 |          0 |         10 |        160 |
| e:\Projects\P_Android_save\flutter project\aggar\lib\core\extensions\dark_theme_extension.dart                                                                                                  | Dart       |         30 |          0 |          2 |         32 |
| e:\Projects\P_Android_save\flutter project\aggar\lib\core\extensions\light_theme_extension.dart                                                                                                 | Dart       |         30 |          0 |          2 |         32 |
| e:\Projects\P_Android_save\flutter project\aggar\lib\core\extensions\theme_cubit_extension.dart                                                                                                 | Dart       |          5 |          0 |          2 |          7 |
| e:\Projects\P_Android_save\flutter project\aggar\lib\core\helper\get_font_size.dart                                                                                                             | Dart       |          9 |          0 |          3 |         12 |
| e:\Projects\P_Android_save\flutter project\aggar\lib\core\helper\scale_factor.dart                                                                                                              | Dart       |         12 |          0 |          3 |         15 |
| e:\Projects\P_Android_save\flutter project\aggar\lib\core\helper\size_config.dart                                                                                                               | Dart       |          4 |          0 |          1 |          5 |
| e:\Projects\P_Android_save\flutter project\aggar\lib\core\services\location_service.dart                                                                                                        | Dart       |        108 |          0 |         16 |        124 |
| e:\Projects\P_Android_save\flutter project\aggar\lib\core\services\location_state_type.dart                                                                                                     | Dart       |         37 |          0 |          5 |         42 |
| e:\Projects\P_Android_save\flutter project\aggar\lib\core\themes\app_dark_colors.dart                                                                                                           | Dart       |         38 |          4 |          2 |         44 |
| e:\Projects\P_Android_save\flutter project\aggar\lib\core\themes\app_light_colors.dart                                                                                                          | Dart       |         29 |          9 |          2 |         40 |
| e:\Projects\P_Android_save\flutter project\aggar\lib\core\themes\dark_theme.dart                                                                                                                | Dart       |          7 |          0 |          3 |         10 |
| e:\Projects\P_Android_save\flutter project\aggar\lib\core\themes\light_theme.dart                                                                                                               | Dart       |          7 |          0 |          3 |         10 |
| e:\Projects\P_Android_save\flutter project\aggar\lib\core\utils\app_assets.dart                                                                                                                 | Dart       |         53 |        101 |         52 |        206 |
| e:\Projects\P_Android_save\flutter project\aggar\lib\core\utils\app_constants.dart                                                                                                              | Dart       |          1 |          0 |          1 |          2 |
| e:\Projects\P_Android_save\flutter project\aggar\lib\core\utils\app_styles.dart                                                                                                                 | Dart       |        189 |         60 |         47 |        296 |
| e:\Projects\P_Android_save\flutter project\aggar\lib\core\widgets\comment_section.dart                                                                                                          | Dart       |         61 |          0 |          2 |         63 |
| e:\Projects\P_Android_save\flutter project\aggar\lib\core\widgets\custom_elevated_button.dart                                                                                                   | Dart       |         58 |          0 |          4 |         62 |
| e:\Projects\P_Android_save\flutter project\aggar\lib\core\widgets\custom_icon.dart                                                                                                              | Dart       |         39 |          0 |          2 |         41 |
| e:\Projects\P_Android_save\flutter project\aggar\lib\core\widgets\empty_custom.dart                                                                                                             | Dart       |          8 |          0 |          3 |         11 |
| e:\Projects\P_Android_save\flutter project\aggar\lib\core\widgets\horizontal_line.dart                                                                                                          | Dart       |         20 |          0 |          2 |         22 |
| e:\Projects\P_Android_save\flutter project\aggar\lib\core\widgets\name_and_rate_section.dart                                                                                                    | Dart       |         61 |          0 |          3 |         64 |
| e:\Projects\P_Android_save\flutter project\aggar\lib\core\widgets\name_section.dart                                                                                                             | Dart       |         45 |          0 |          2 |         47 |
| e:\Projects\P_Android_save\flutter project\aggar\lib\core\widgets\text_with_arrow_back_button.dart                                                                                              | Dart       |         52 |          0 |          2 |         54 |
| e:\Projects\P_Android_save\flutter project\aggar\lib\features\authorization\data\cubit\Login\login_cubit.dart                                                                                   | Dart       |        119 |          0 |         22 |        141 |
| e:\Projects\P_Android_save\flutter project\aggar\lib\features\authorization\data\cubit\Login\login_state.dart                                                                                   | Dart       |         32 |          1 |         13 |         46 |
| e:\Projects\P_Android_save\flutter project\aggar\lib\features\authorization\data\cubit\credentials\credentials_cubit.dart                                                                       | Dart       |         45 |          0 |          8 |         53 |
| e:\Projects\P_Android_save\flutter project\aggar\lib\features\authorization\data\cubit\credentials\credentials_state.dart                                                                       | Dart       |         53 |          0 |          7 |         60 |
| e:\Projects\P_Android_save\flutter project\aggar\lib\features\authorization\data\cubit\personal_info\personal_info_cubit.dart                                                                   | Dart       |         42 |          0 |          6 |         48 |
| e:\Projects\P_Android_save\flutter project\aggar\lib\features\authorization\data\cubit\personal_info\personal_info_state.dart                                                                   | Dart       |         33 |          0 |          5 |         38 |
| e:\Projects\P_Android_save\flutter project\aggar\lib\features\authorization\data\cubit\pick_image\pick_image_cubit.dart                                                                         | Dart       |         69 |          3 |         16 |         88 |
| e:\Projects\P_Android_save\flutter project\aggar\lib\features\authorization\data\cubit\pick_image\pick_image_state.dart                                                                         | Dart       |         44 |          0 |          5 |         49 |
| e:\Projects\P_Android_save\flutter project\aggar\lib\features\authorization\data\cubit\sign_up\sign_up_cubit.dart                                                                               | Dart       |         34 |          7 |          7 |         48 |
| e:\Projects\P_Android_save\flutter project\aggar\lib\features\authorization\data\cubit\sign_up\sign_up_state.dart                                                                               | Dart       |         26 |          0 |         13 |         39 |
| e:\Projects\P_Android_save\flutter project\aggar\lib\features\authorization\data\cubit\verification\verification_cubit.dart                                                                     | Dart       |        113 |          7 |         22 |        142 |
| e:\Projects\P_Android_save\flutter project\aggar\lib\features\authorization\data\cubit\verification\verification_state.dart                                                                     | Dart       |         49 |          0 |          6 |         55 |
| e:\Projects\P_Android_save\flutter project\aggar\lib\features\authorization\presentation\views\credentials.dart                                                                                 | Dart       |        167 |          1 |          7 |        175 |
| e:\Projects\P_Android_save\flutter project\aggar\lib\features\authorization\presentation\views\personal_info.dart                                                                               | Dart       |        152 |          3 |         14 |        169 |
| e:\Projects\P_Android_save\flutter project\aggar\lib\features\authorization\presentation\views\pick_image.dart                                                                                  | Dart       |        206 |          1 |         12 |        219 |
| e:\Projects\P_Android_save\flutter project\aggar\lib\features\authorization\presentation\views\sign_in_view.dart                                                                                | Dart       |        104 |          0 |          8 |        112 |
| e:\Projects\P_Android_save\flutter project\aggar\lib\features\authorization\presentation\views\sign_up_view.dart                                                                                | Dart       |         74 |          2 |          8 |         84 |
| e:\Projects\P_Android_save\flutter project\aggar\lib\features\authorization\presentation\views\verification_view.dart                                                                           | Dart       |        175 |          1 |          7 |        183 |
| e:\Projects\P_Android_save\flutter project\aggar\lib\features\authorization\presentation\widget\card_type.dart                                                                                  | Dart       |         71 |          0 |          4 |         75 |
| e:\Projects\P_Android_save\flutter project\aggar\lib\features\authorization\presentation\widget\custom_text_from_felid.dart                                                                     | Dart       |         89 |          0 |          4 |         93 |
| e:\Projects\P_Android_save\flutter project\aggar\lib\features\authorization\presentation\widget\divider_with_text.dart                                                                          | Dart       |         32 |          0 |          4 |         36 |
| e:\Projects\P_Android_save\flutter project\aggar\lib\features\authorization\presentation\widget\pick_image_icon_with_title_and_subtitle.dart                                                    | Dart       |        124 |          0 |         11 |        135 |
| e:\Projects\P_Android_save\flutter project\aggar\lib\features\authorization\presentation\widget\sign_in_do_not_have_an_account_section.dart                                                     | Dart       |         26 |          0 |          3 |         29 |
| e:\Projects\P_Android_save\flutter project\aggar\lib\features\authorization\presentation\widget\sign_in_email_and_password_fields.dart                                                          | Dart       |         75 |          1 |          5 |         81 |
| e:\Projects\P_Android_save\flutter project\aggar\lib\features\authorization\presentation\widget\sign_in_face_book_and_google_buttons.dart                                                       | Dart       |         42 |          0 |          3 |         45 |
| e:\Projects\P_Android_save\flutter project\aggar\lib\features\authorization\presentation\widget\sign_in_forget_password_button.dart                                                             | Dart       |         32 |          0 |          2 |         34 |
| e:\Projects\P_Android_save\flutter project\aggar\lib\features\authorization\presentation\widget\sign_in_image_with_text.dart                                                                    | Dart       |         25 |          0 |          3 |         28 |
| e:\Projects\P_Android_save\flutter project\aggar\lib\features\authorization\presentation\widget\sign_in_register_now_button.dart                                                                | Dart       |         33 |          0 |          3 |         36 |
| e:\Projects\P_Android_save\flutter project\aggar\lib\features\authorization\presentation\widget\sign_in_social_button.dart                                                                      | Dart       |         41 |          0 |          5 |         46 |
| e:\Projects\P_Android_save\flutter project\aggar\lib\features\authorization\presentation\widget\sign_up_have_an_account_section.dart                                                            | Dart       |         35 |          0 |          3 |         38 |
| e:\Projects\P_Android_save\flutter project\aggar\lib\features\authorization\presentation\widget\terms_check.dart                                                                                | Dart       |         58 |          0 |          4 |         62 |
| e:\Projects\P_Android_save\flutter project\aggar\lib\features\main_screen\presentation\views\main_screen.dart                                                                                   | Dart       |         61 |          0 |          4 |         65 |
| e:\Projects\P_Android_save\flutter project\aggar\lib\features\main_screen\presentation\widgets\main_header.dart                                                                                 | Dart       |         37 |          0 |          3 |         40 |
